ID	word	translation
351	frowning	нахмуренный, сморщенный [ fraunɪŋ ]
2790	recline	склоняться, нависать облокачиваться; склоняться,укладывать, откидывать назад,[ rɪ'klaɪn ]
2182	impersonation	подражание, пародирование, передразнивание воплощение, олицетворение [ ɪmˌpɜːs(ə)'neɪʃ(ə)n ]
2440	shove it	амер.; груб. катиться ко всем чертям, убираться вон []
1373	flicker	мерцать прям. и перен.; сверкать; мигать мелькнуть,молниеносное появление; мелькание; проблеск [ 'flɪkə ]
2203	mince	крошить, рубить пропускать через мясорубку смягчать, умалять; преуменьшать держаться жеманно говорить очень чётко, с хорошей дикцией и произношением семенить ногами, ступать маленькими шажками фарш [ mɪn(t)s ]
1738	teeming	переполненный, битком набитый проливной [ 'tiːmɪŋ ]
183	saggy	вялый, отвисший [ 'sægɪ ]
1690	resemble	походить, иметь сходство Syn: compare [ rɪ'zembl ]
2583	nowadays	в наши дни; теперь; в наше время настоящее время [ 'nauədeɪz ]
1789	crisply	решительно, твёрдо [ 'krɪsplɪ ]
2213	oversee	наблюдать, надзирать; следить,увидеть случайно, подсмотреть [ ˌəuvə'siː ]
2800	scenic	живописный, красивый сценический; театральный изображающий эпизод, сцену [ 'siːnɪk ]
1454	pummel	бить, избивать (особенно кулаками) ; тузить Syn: pound, thump [ 'pʌm(ə)l ]
1557	wreck	крушение, авария, гибель, катастрофа обломки развалины терпеть крушение вызывать крушение; топить подрывать, губить рушиться [ rek ]
125	leap (leapt)	прыжок, скачок [lip, lept]
2391	pick	кирка, кайло, лом; ледоруб приспособление с заострённым концом клевать, поклёвывать выбирать, отбирать, долбить, просверливать,обдирать, ощипывать австрал.; новозел.; разг. просекать, уяснить себе (делать выводы) заблокировать (соперника; выбор результат что-л. отборное, лучшая часть блок, разрешённый правилами [ pɪk ]
1041	off his rocker	off one's rocker чокнутый, с приветом, не все дома syn: crazy; off one's dot []
170	rattled	смущать, приводить в замешательство
1231	promised Harry he would flay him to within an inch of his life when the Masons had left,...	[]
2694	daring	смелость; отвага бесстрашный, мужественный,дерзкий открытый, обнажающий тело (о платье) [ 'deərɪŋ ]
1983	embossed	резной, тиснёный, чеканный рельефный; выпуклый богато украшенный напыщенный [ ɪm'bɔst ], [ em- ]
616	in a flash	в один миг, в мгновение ока immediately, instantaneously []
974	audience	публика; зрители [ 'ɔːdɪən(t)s ]
1998	groom	конюх; грум сокр. от bridegroom жених придворный слуга работник мужчина ходить за лошадью, чистить лошадь готовить к определенной должности, карьере [ gruːm ]
1432	muck	навоз; дерьмо грязь; мусор; отходы неудачная попытка, провал пачкать [ mʌk ]
229	stunt-these people	каскадеры-эти люди
638	meanwhile	тем временем, между тем, пока [ ˌmiːn'waɪl ]
750	canter	пускать лошадь лёгким галопом быстро передвигаться лёгкий галоп тот, кто говорит на жаргоне бродяга, попрошайка, нищий [ 'kæntə ]
1351	devise	разрабатывать, продумывать завещание; [ dɪ'vaɪz ]
1420	marrow	костный мозг спинной мозг сердцевина, мякоть товарищ, напарник вторая половина (супруг) пара [ 'mærəu ]
117	irritable	несдержанный, раздражительный
1476	scathing	едкий, язвительный уничтожающий, губящий [ 'skeɪðɪŋ ]
707	temper	характер, нрав самообладание, сдержанность; умение держать себя в руках раздражительность; вспыльчивость [ 'tempə ]
710	thud	бухнуться, свалиться, сорваться, шлёпнуться глухой звук, стук, тяжёлый удар, горе порыв ветра, шквал [ θʌd ]
267	wink	подмигивать; перемигиваться [wiŋk]
607	grope	искать, нащупывать [ grəup ]
173	rejoice	радоваться [riʤᴐis]
774	dawn	рассвет, утренняя заря начало, исток; светать, заниматься (о рассвете)осенять; приходить в голову [ dɔːn ]
349	frantic	безумный, неистовый, яростный ( imperturbable, tranquil ) [ 'fræntɪk ]
490	tickle	щекотать легко касаться (чего-л.) [ 'tɪkl ]
1265	statute	юр. закон, законодательный акт парламента; стату, договор, соглашение, конвенция [ 'stætjuːt ]
2339	draw on	влечь, манить наступать, приближаться идти, течь, протекать []
1295	wind	заставить задохнуться; вызвать одышку проветривать; вентилировать ветер, воздушный поток [ wɪnd ]
