ID	word	translation
166	rant	говорить напыщенно; изрекать; разглагольствовать б) кричать, говорить с напором, зло [ rænt ]
350	frowning	нахмуренный, сморщенный [ fraunɪŋ ]
97	gingerly	осторожно, осмотрительно, предусмотрительно; робко [dƷindƷ(ɘ)li]
325	desperate	крайне, ужасно, страшно, отчаянно снедаемый большим желанием (чего-л.) [ 'desp(ə)rət ]
10	beady	как бусинка, напоминающий бусинку (маленький, круглый и блестящий) - beady eyes [bidi]
182	saggy	вялый, отвисший [ 'sægɪ ]
279	awful	страшный, ужасный, отвратительный [ 'ɔːf(ə)l ], [ -ful ]
94	fond	испытывающий нежные чувства (к кому-л.) ; любящий
380	infernal	адский; относящийся к аду, преисподней [ ɪn'fɜːn(ə)l ]
2	ashen	пепельный, из пепла [ 'æʃ(ə)n ]
284	bat	летучая мышь [ bæt ]
124	leap (leapt)	прыжок, скачок [lip, lept]
180	rumbling	громыхание, грохот, грохотанье [ 'rʌmblɪŋ ]
283	bartender	бармен [ 'bɑːˌtendə ]
139	neat	чёткий, ясный, точный [nit]
169	rattled	смущать, приводить в замешательство
484	tear (прош. вр tore)	рвать, разрывать, срывать, отрывать спешка; поспешность, торопливость [ teə ] ([ tɔː ])
178	rubbish	абсурд, вздор, ерунда [ 'rʌbɪʃ ]
15	beet	свёкла [bit]
475	strict	строгий, требовательный, взыскательный; жёсткий [ strɪkt ]
231	swelled	увеличилось
167	rap	лёгкий удар; стук, наказание; обвинение; приговор [ræp]
228	stunt-these people	каскадеры-эти люди
250	tread_(trod, trodden)	идти, ступать, шагать топтать, наступать, давить [ tred ]
3	astonishing	изумительный, ошеломительный, поразительный, удивительный
316	courtyard	внутренний двор [ 'kɔːtjɑːd ]
116	irritable	несдержанный, раздражительный
491	topple	валиться, падать (головой вниз) ; опрокидываться [ 'tɔpl ]
266	wink	подмигивать; перемигиваться [wiŋk]
172	rejoice	радоваться [riʤᴐis]
348	frantic	безумный, неистовый, яростный ( imperturbable, tranquil ) [ 'fræntɪk ]
151	patted	похлопывать; поглаживать; шлёпать [pæt]
237	tabby	муаровый
489	tickle	щекотать легко касаться (чего-л.) [ 'tɪkl ]
93	foghorn	туманный горн [fɔghɔ:n]
285	beware	беречься, остерегаться, опасаться [ bɪ'weə ]
369	hang	вешать, развешивать, подвешивать [ hæŋ ]
242	throat	горло, гортань; глотка
7	barbers	парикмахер [bɑ:bǝ]
130	make out	разобрать, увидеть, различить
364	grasp	схватывание; крепкое сжатие; хватка [ grɑːsp ]
428	refuse	отказываться [ rɪ'fjuːz ]
110	hoodlum	хулиган; бандит Syn: renegade [hudlam]
227	stump	срезать, обрезать, обрубать, отсекать [ stʌmp ]
31	bully	грозить, запугивать, стращать [buli]
403	nibble	клевать (о рыбах) грызть; обгрызать; щипать [ 'nɪbl ]
100	grateful	благодарный; признательный [ 'greɪtf(ə)l ]
303	caretaker	ответственный за поддержание порядка смотритель, сторож [ 'keəˌteɪkə ]
239	tawny	темно-желтый
4	astride	широко расставив ноги 2) верхом (на лошади, на стуле)
61	deafening	оглушительный, очень громкий, способный оглушить [def(ǝ)niŋ]
